pre_body_id,post_body_id,synapse_count,confidence,neuropil
10011,555296,16,0.979,central_complex
10011,511797,19,0.858,central_complex
10011,10687,5,0.888,central_complex
10011,11589,17,0.867,central_complex
10011,10529,2,0.881,central_complex
10011,10679,1,0.907,central_complex
10011,520787,3,0.919,central_complex
10011,10429,7,0.857,central_complex
10011,23477,3,0.91,central_complex
10011,12506,29,0.914,central_complex
10011,11053,7,0.85,central_complex
10011,14040,27,0.891,central_complex
10011,107729,5,0.977,central_complex
10011,10762,6,0.861,central_complex
10011,11321,1,0.85,central_complex
10011,11829,30,0.919,central_complex
10011,30194,1,0.923,central_complex
10011,12510,6,0.913,central_complex
10011,11471,2,0.868,central_complex
10011,11802,8,0.947,central_complex
10011,12183,13,0.914,central_complex
10011,12840,23,0.899,central_complex
10011,12367,5,0.879,central_complex
10011,527588,27,0.958,central_complex
10011,12023,8,0.947,central_complex
10011,16527,4,0.941,central_complex
10011,10969,21,0.914,central_complex
10011,14243,9,0.877,central_complex
10011,10857,3,0.917,central_complex
10011,521748,16,0.868,central_complex
10011,12978,15,0.951,central_complex
10011,39382,21,0.912,central_complex
10011,13728,34,0.872,central_complex
10011,13027,8,0.924,central_complex
10011,15189,9,0.889,central_complex
10011,11213,29,0.982,central_complex
10011,521092,12,0.986,central_complex
10011,527409,2,0.92,central_complex
10011,556023,22,0.899,central_complex
10011,555382,3,0.916,central_complex
10011,14339,1,0.906,central_complex
10011,12562,2,0.893,central_complex
10011,15146,5,0.856,central_complex
10352,10540,1,0.867,optic_lobe
10352,10914,9,0.938,optic_lobe
10352,10508,6,0.956,optic_lobe
10352,10707,2,0.924,optic_lobe
10352,11367,12,0.933,optic_lobe
10352,11507,12,0.87,optic_lobe
10352,10583,2,0.92,optic_lobe
10352,10845,28,0.926,optic_lobe
10352,10170,6,0.854,optic_lobe
10352,10843,33,0.899,optic_lobe
10352,11130,27,0.886,optic_lobe
10352,11521,4,0.945,optic_lobe
10352,555176,6,0.983,optic_lobe
10352,14372,26,0.874,optic_lobe
10352,11712,1,0.926,optic_lobe
10352,11312,28,0.941,optic_lobe
10352,10367,1,0.879,optic_lobe
10352,14207,5,0.885,optic_lobe
10352,12067,14,0.905,optic_lobe
10352,11055,2,0.881,optic_lobe
10352,12092,5,0.872,optic_lobe
10352,32461,20,0.975,optic_lobe
10352,520628,9,0.958,optic_lobe
10352,523438,9,0.979,optic_lobe
10352,10788,20,0.919,optic_lobe
10352,12426,19,0.983,optic_lobe
10352,13051,49,0.875,optic_lobe
10352,12813,1,0.966,optic_lobe
10352,12402,19,0.913,optic_lobe
10352,14259,13,0.917,optic_lobe
10352,12538,34,0.969,optic_lobe
10352,13584,1,0.906,optic_lobe
10352,12890,1,0.921,optic_lobe
10352,12639,12,0.884,optic_lobe
10352,13345,2,0.851,optic_lobe
10352,12240,45,0.931,optic_lobe
10352,520646,5,0.945,optic_lobe
10352,10374,24,0.858,optic_lobe
10352,13926,7,0.91,optic_lobe
10352,11473,2,0.895,optic_lobe
10352,10623,16,0.899,optic_lobe
10352,12121,2,0.874,optic_lobe
10352,12718,37,0.902,optic_lobe
10352,12507,8,0.893,optic_lobe
10278,10448,19,0.891,central_complex
10278,10603,51,0.861,central_complex
10278,12488,1,0.898,central_complex
10278,11331,2,0.895,central_complex
10278,10019,26,0.959,central_complex
10278,524893,8,0.947,central_complex
10278,13158,11,0.927,central_complex
10278,529811,2,0.891,central_complex
10278,11954,4,0.944,central_complex
10278,11779,43,0.959,central_complex
10278,11115,32,0.905,central_complex
10278,10091,25,0.888,central_complex
10278,10645,15,0.886,central_complex
10278,10487,26,0.97,central_complex
10278,10145,18,0.919,central_complex
10278,513434,45,0.944,central_complex
10278,11094,35,0.931,central_complex
10278,12832,13,0.882,central_complex
10278,519899,3,0.85,central_complex
10278,10017,7,0.951,central_complex
10278,526522,7,0.956,central_complex
10278,14441,6,0.919,central_complex
10278,512673,24,0.889,central_complex
10278,12395,30,0.902,central_complex
10278,22884,3,0.864,central_complex
10278,10217,11,0.909,central_complex
10278,13989,25,0.97,central_complex
10278,49693,4,0.942,central_complex
10278,37952,6,0.865,central_complex
10278,519787,22,0.898,central_complex
10278,12697,5,0.907,central_complex
10278,12974,28,0.968,central_complex
10278,11720,43,0.888,central_complex
10278,13033,41,0.933,central_complex
10278,10498,11,0.856,central_complex
10278,10834,5,0.891,central_complex
10278,14138,6,0.882,central_complex
10278,13769,13,0.867,central_complex
10069,10696,1,0.934,central_complex
10069,10914,4,0.871,central_complex
10069,537899,3,0.874,central_complex
10069,11319,12,0.888,central_complex
10069,10202,1,0.893,central_complex
10069,10508,1,0.979,central_complex
10069,524883,34,0.933,central_complex
10069,11507,3,0.907,central_complex
10069,533529,4,0.972,central_complex
10069,11560,3,0.851,central_complex
10069,11993,2,0.98,central_complex
10069,10099,4,0.942,central_complex
10069,14372,5,0.885,central_complex
10069,10101,2,0.951,central_complex
10069,10896,2,0.884,central_complex
10069,10031,1,0.878,central_complex
10069,11744,1,0.951,central_complex
10069,10804,1,0.85,central_complex
10069,10188,2,0.85,central_complex
10069,12067,3,0.924,central_complex
10069,10480,9,0.889,central_complex
10069,36537,4,0.85,central_complex
10069,520817,3,0.856,central_complex
10069,11764,3,0.872,central_complex
10069,520628,6,0.889,central_complex
10069,16659,8,0.935,central_complex
10069,38372,7,0.875,central_complex
10069,12354,3,0.963,central_complex
10069,10717,1,0.909,central_complex
10069,10876,1,0.966,central_complex
10069,11495,23,0.93,central_complex
10069,12660,2,0.951,central_complex
10069,524483,8,0.863,central_complex
10069,14517,2,0.924,central_complex
10069,36918,2,0.864,central_complex
10069,14903,2,0.899,central_complex
10069,13367,6,0.903,central_complex
10069,11988,3,0.937,central_complex
10069,10079,5,0.884,central_complex
10069,10786,16,0.87,central_complex
10069,13116,3,0.916,central_complex
10069,513663,3,0.984,central_complex
10069,12089,6,0.969,central_complex
10069,12121,17,0.913,central_complex
10069,15661,1,0.853,central_complex
10050,10158,9,0.872,central_complex
10050,10306,9,0.885,central_complex
10050,162461,21,0.959,central_complex
10050,10183,8,0.94,central_complex
10050,10271,43,0.888,central_complex
10050,10648,7,0.895,central_complex
10050,523037,4,0.871,central_complex
10050,10272,13,0.9,central_complex
10050,11638,32,0.9,central_complex
10050,529602,14,0.885,central_complex
10050,10579,3,0.92,central_complex
10050,10990,33,0.931,central_complex
10050,13612,5,0.864,central_complex
10050,13984,21,0.989,central_complex
10050,11639,11,0.916,central_complex
10050,11187,17,0.937,central_complex
10050,11768,3,0.903,central_complex
10050,11729,17,0.959,central_complex
10050,10256,4,0.91,central_complex
10050,11956,6,0.962,central_complex
10050,10251,17,0.882,central_complex
10050,11352,9,0.87,central_complex
10050,10243,16,0.888,central_complex
10050,11539,28,0.989,central_complex
10050,10933,12,0.867,central_complex
10050,11528,2,0.891,central_complex
10050,11950,12,0.905,central_complex
10050,520190,4,0.885,central_complex
10050,15189,1,0.881,central_complex
10050,11087,6,0.928,central_complex
10050,10377,1,0.934,central_complex
10050,10407,5,0.857,central_complex
10050,10844,13,0.914,central_complex
10050,14643,1,0.878,central_complex
10050,15051,3,0.899,central_complex
10050,13767,11,0.917,central_complex
10050,520797,15,0.889,central_complex
10050,523882,29,0.916,central_complex
10050,36299,13,0.881,central_complex
10050,14692,21,0.97,central_complex
10050,15915,15,0.937,central_complex
10050,13259,10,0.979,central_complex
10050,11643,6,0.858,central_complex
10611,10254,2,0.865,central_complex
10611,10176,2,0.892,central_complex
10611,10322,1,0.935,central_complex
10611,10569,28,0.861,central_complex
10611,10362,8,0.867,central_complex
10611,10057,31,0.983,central_complex
10611,11345,13,0.933,central_complex
10611,10155,11,0.861,central_complex
10611,10140,7,0.979,central_complex
10611,10005,28,0.858,central_complex
10611,33047,5,0.948,central_complex
10611,12320,4,0.909,central_complex
10611,519242,6,0.968,central_complex
10611,10408,2,0.963,central_complex
10611,11199,5,0.853,central_complex
10611,11289,15,0.93,central_complex
10611,12111,6,0.949,central_complex
10611,11992,1,0.92,central_complex
10611,10031,18,0.861,central_complex
10611,11744,16,0.928,central_complex
10611,12046,2,0.864,central_complex
10611,13271,7,0.893,central_complex
10611,12201,14,0.914,central_complex
10611,10201,19,0.93,central_complex
10611,572339,14,0.913,central_complex
10611,12782,1,0.87,central_complex
10611,16642,17,0.875,central_complex
10611,13007,5,0.92,central_complex
10611,513163,21,0.875,central_complex
10611,36537,3,0.914,central_complex
10611,13716,37,0.905,central_complex
10611,514555,3,0.899,central_complex
10611,529378,4,0.97,central_complex
10611,522744,6,0.969,central_complex
10611,11490,31,0.989,central_complex
10611,525408,7,0.865,central_complex
10611,16473,23,0.87,central_complex
10611,10210,30,0.942,central_complex
10611,11142,22,0.875,central_complex
10611,519131,5,0.977,central_complex
10611,529641,16,0.969,central_complex
10611,14674,4,0.913,central_complex
10611,13345,4,0.912,central_complex
10611,12012,1,0.868,central_complex
10611,12837,13,0.884,central_complex
10611,537027,33,0.959,central_complex
10611,11566,16,0.987,central_complex
10611,17858,1,0.879,central_complex
10611,13201,4,0.877,central_complex
10085,10129,7,0.87,central_complex
10085,522410,7,0.881,central_complex
10085,10108,8,0.917,central_complex
10085,10448,14,0.986,central_complex
10085,10593,2,0.871,central_complex
10085,10852,12,0.882,central_complex
10085,10466,5,0.867,central_complex
10085,10644,25,0.874,central_complex
10085,10778,2,0.867,central_complex
10085,11331,1,0.921,central_complex
10085,10609,21,0.899,central_complex
10085,11823,7,0.867,central_complex
10085,11101,29,0.958,central_complex
10085,11779,1,0.886,central_complex
10085,532944,43,0.986,central_complex
10085,11245,2,0.927,central_complex
10085,10487,16,0.982,central_complex
10085,11806,16,0.875,central_complex
10085,531862,23,0.889,central_complex
10085,14350,10,0.916,central_complex
10085,12693,5,0.979,central_complex
10085,519616,4,0.926,central_complex
10085,11197,1,0.878,central_complex
10085,12351,1,0.916,central_complex
10085,12923,8,0.968,central_complex
10085,526522,8,0.863,central_complex
10085,11985,20,0.928,central_complex
10085,12148,21,0.899,central_complex
10085,13661,36,0.886,central_complex
10085,520118,1,0.905,central_complex
10085,12499,18,0.877,central_complex
10085,15298,9,0.853,central_complex
10085,514324,2,0.912,central_complex
10085,11980,35,0.888,central_complex
10085,517336,16,0.937,central_complex
10085,12531,8,0.865,central_complex
10085,13586,1,0.949,central_complex
10085,521023,6,0.893,central_complex
10085,12575,25,0.886,central_complex
10085,11618,2,0.942,central_complex
10085,11813,41,0.875,central_complex
10085,14138,1,0.934,central_complex
10085,71135,12,0.854,central_complex
10085,523860,32,0.888,central_complex
10503,10066,38,0.888,descending_vnc
10503,10308,24,0.898,descending_vnc
10503,10436,8,0.921,descending_vnc
10503,10029,2,0.9,descending_vnc
10503,11689,5,0.857,descending_vnc
10503,10902,1,0.907,descending_vnc
10503,10335,3,0.942,descending_vnc
10503,12396,1,0.94,descending_vnc
10503,11031,1,0.92,descending_vnc
10503,16879,1,0.899,descending_vnc
10105,10494,2,0.867,optic_lobe
10105,10604,8,0.97,optic_lobe
10105,12253,10,0.879,optic_lobe
10105,522346,6,0.851,optic_lobe
10105,10364,9,0.913,optic_lobe
10105,10282,2,0.976,optic_lobe
10105,11030,5,0.851,optic_lobe
10105,11877,7,0.938,optic_lobe
10105,532255,32,0.973,optic_lobe
10105,10871,28,0.947,optic_lobe
10105,516616,2,0.896,optic_lobe
10105,521783,14,0.944,optic_lobe
10105,12343,1,0.85,optic_lobe
10105,11018,29,0.889,optic_lobe
10105,49015,5,0.867,optic_lobe
10105,10936,35,0.944,optic_lobe
10105,11639,21,0.966,optic_lobe
10105,14192,23,0.886,optic_lobe
10105,11729,21,0.858,optic_lobe
10105,524668,12,0.924,optic_lobe
10105,11305,6,0.893,optic_lobe
10105,10251,6,0.895,optic_lobe
10105,15962,1,0.954,optic_lobe
10105,10785,26,0.905,optic_lobe
10105,13375,1,0.98,optic_lobe
10105,11219,6,0.961,optic_lobe
10105,11207,21,0.944,optic_lobe
10105,519909,1,0.898,optic_lobe
10105,11472,19,0.874,optic_lobe
10105,520808,5,0.891,optic_lobe
10105,13534,5,0.969,optic_lobe
10105,16656,4,0.919,optic_lobe
10105,13029,4,0.888,optic_lobe
10105,13524,3,0.948,optic_lobe
10105,11163,32,0.975,optic_lobe
10105,12730,22,0.942,optic_lobe
10105,13672,10,0.899,optic_lobe
10105,15160,31,0.931,optic_lobe
10105,13408,12,0.938,optic_lobe
10105,13876,15,0.94,optic_lobe
10105,13079,5,0.94,optic_lobe
10105,531837,5,0.858,optic_lobe
10105,519692,3,0.868,optic_lobe
10105,12014,8,0.902,optic_lobe
10105,12786,17,0.896,optic_lobe
10105,36299,10,0.926,optic_lobe
10133,10051,14,0.982,central_complex
10133,10011,3,0.989,central_complex
10133,10432,1,0.941,central_complex
10133,10126,14,0.975,central_complex
10133,10302,7,0.98,central_complex
10133,10321,3,0.98,central_complex
10133,10294,1,0.85,central_complex
10133,10109,6,0.889,central_complex
10133,10364,3,0.916,central_complex
10133,10875,7,0.935,central_complex
10133,522465,3,0.854,central_complex
10133,10777,6,0.928,central_complex
10133,555384,8,0.884,central_complex
10133,10285,26,0.989,central_complex
10133,10679,1,0.906,central_complex
10133,532655,13,0.895,central_complex
10133,10457,16,0.912,central_complex
10133,11517,14,0.881,central_complex
10133,11400,35,0.958,central_complex
10133,10472,6,0.966,central_complex
10133,11741,23,0.902,central_complex
10133,11294,39,0.933,central_complex
10133,527470,28,0.975,central_complex
10133,10702,14,0.895,central_complex
10133,523842,5,0.863,central_complex
10133,11359,28,0.858,central_complex
10133,11975,7,0.867,central_complex
10133,11321,9,0.952,central_complex
10133,10599,3,0.923,central_complex
10133,11467,24,0.954,central_complex
10133,23401,25,0.941,central_complex
10133,12178,1,0.907,central_complex
10133,10704,1,0.948,central_complex
10133,10602,7,0.851,central_complex
10133,10203,2,0.965,central_complex
10133,11701,6,0.927,central_complex
10133,12057,3,0.919,central_complex
10133,12371,21,0.891,central_complex
10133,12367,19,0.902,central_complex
10133,13550,3,0.92,central_complex
10133,13119,11,0.965,central_complex
10133,10725,21,0.94,central_complex
10133,522434,39,0.989,central_complex
10133,27961,19,0.913,central_complex
10133,12061,5,0.882,central_complex
10133,13314,10,0.917,central_complex
10133,10698,1,0.909,central_complex
10133,12455,4,0.934,central_complex
10133,11252,5,0.935,central_complex
10133,521190,2,0.948,central_complex
10133,10075,47,0.891,central_complex
10133,11126,7,0.979,central_complex
10133,523644,9,0.877,central_complex
10133,15189,4,0.907,central_complex
10133,14594,2,0.963,central_complex
10133,524164,22,0.903,central_complex
10133,40546,6,0.86,central_complex
10133,523564,5,0.935,central_complex
10133,521529,11,0.912,central_complex
10133,514988,21,0.902,central_complex
10133,15051,1,0.886,central_complex
10133,38847,20,0.969,central_complex
10133,11058,1,0.906,central_complex
10133,11457,14,0.98,central_complex
10133,12221,27,0.93,central_complex
10133,15325,1,0.949,central_complex
10158,10208,1,0.851,optic_lobe
10158,10276,29,0.875,optic_lobe
10158,10524,1,0.857,optic_lobe
10158,10977,9,0.885,optic_lobe
10158,10098,5,0.914,optic_lobe
10158,11877,1,0.893,optic_lobe
10158,10272,40,0.989,optic_lobe
10158,11400,1,0.921,optic_lobe
10158,10119,14,0.973,optic_lobe
10158,10808,1,0.91,optic_lobe
10158,11923,4,0.856,optic_lobe
10158,11406,6,0.885,optic_lobe
